vendor,current_price,old_price,product_name,month
Loblaws,8.99,9.49,"Beef Jerky, Peppered",7
Loblaws,8.99,9.49,"Beef Jerky, Peppered",7
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,25.9,27.03,"Certified Angus Beef Striploin Grill Steak, Service Case",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",6
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",7
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",7
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",7
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",7
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",7
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",7
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",7
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",7
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",7
Loblaws,0.7899999999999999,1.09,"Demae Ramen, Beef Flavour",7
Loblaws,6.06,6.46,Beef Eye Of Round Fast Fry Steak,6
Loblaws,6.06,6.46,Beef Eye Of Round Fast Fry Steak,6
Loblaws,6.06,6.46,Beef Eye Of Round Fast Fry Steak,6
Loblaws,6.06,6.46,Beef Eye Of Round Fast Fry Steak,6
Loblaws,6.06,6.46,Beef Eye Of Round Fast Fry Steak,6
Loblaws,6.06,6.46,Beef Eye Of Round Fast Fry Steak,6
Loblaws,6.06,6.46,Beef Eye Of Round Fast Fry Steak,7
Loblaws,6.06,6.46,Beef Eye Of Round Fast Fry Steak,7
Loblaws,6.06,6.46,Beef Eye Of Round Fast Fry Steak,7
Loblaws,6.06,6.46,Beef Eye Of Round Fast Fry Steak,7
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,6
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,6
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,6
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,6
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,6
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,6
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,6
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,7
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,7
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,7
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,7
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,7
Loblaws,7.3,8.46,Beef Eye of Round Marinating Steak,7
Loblaws,22.49,24.86,"Beef Eye of Round Marinating Steak, Club Pack",6
Loblaws,22.49,24.86,"Beef Eye of Round Marinating Steak, Club Pack",6
Loblaws,22.49,24.86,"Beef Eye of Round Marinating Steak, Club Pack",6
Loblaws,22.49,24.86,"Beef Eye of Round Marinating Steak, Club Pack",6
Loblaws,22.49,24.86,"Beef Eye of Round Marinating Steak, Club Pack",6
Loblaws,22.49,24.86,"Beef Eye of Round Marinating Steak, Club Pack",6
Loblaws,22.49,24.86,"Beef Eye of Round Marinating Steak, Club Pack",6
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,6
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,6
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,6
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,6
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,6
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,6
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,6
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,7
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,7
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,7
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,7
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,7
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,7
Loblaws,22.54,25.04,Beef Eye of Round Oven Roast,7
Loblaws,16.66,35.92,"Beef Striploin Grilling Steak, Club Pack",6
Loblaws,16.66,35.92,"Beef Striploin Grilling Steak, Club Pack",6
Loblaws,16.66,38.03,"Beef Striploin Grilling Steak, Club Pack",6
Loblaws,16.66,38.03,"Beef Striploin Grilling Steak, Club Pack",8
Loblaws,16.66,38.03,"Beef Striploin Grilling Steak, Club Pack",8
Loblaws,16.66,38.03,"Beef Striploin Grilling Steak, Club Pack",8
Loblaws,9.38,16.9,Beef Striploin Steak,6
Loblaws,9.38,16.9,Beef Striploin Steak,6
Loblaws,9.38,16.9,Beef Striploin Steak,6
Loblaws,9.38,17.830000000000002,Beef Striploin Steak,6
Loblaws,8.65,13.31,Beef Striploin Fast Fry Steak,6
Loblaws,8.65,13.31,Beef Striploin Fast Fry Steak,6
Loblaws,8.65,13.31,Beef Striploin Fast Fry Steak,6
Loblaws,8.65,13.31,Beef Striploin Fast Fry Steak,6
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
Loblaws,19.09,22.630000000000003,Beef Flank Steak,7
